Class,Precision,Recall,F1-score,Support
Acne,0.46808510638297873,0.3384615384615385,0.39285714285714285,65.0
Actinic_Keratosis,0.6086956521739131,0.1686746987951807,0.2641509433962264,83.0
Benign_tumors,0.2721518987341772,0.35537190082644626,0.30824372759856633,121.0
Bullous,0.3611111111111111,0.23636363636363636,0.2857142857142857,55.0
Candidiasis,0.7142857142857143,0.18518518518518517,0.29411764705882354,27.0
DrugEruption,0.48333333333333334,0.47540983606557374,0.4793388429752066,61.0
Eczema,0.35294117647058826,0.32142857142857145,0.3364485981308411,112.0
Infestations_Bites,0.16666666666666666,0.4166666666666667,0.23809523809523808,60.0
Lichen,0.4,0.06557377049180328,0.11267605633802817,61.0
Lupus,0.125,0.029411764705882353,0.047619047619047616,34.0
Moles,0.11312217194570136,0.625,0.19157088122605365,40.0
Psoriasis,0.5263157894736842,0.11363636363636363,0.18691588785046728,88.0
Rosacea,0.5555555555555556,0.5357142857142857,0.5454545454545454,28.0
Seborrh_Keratoses,0.2978723404255319,0.27450980392156865,0.2857142857142857,51.0
SkinCancer,0.22727272727272727,0.06493506493506493,0.10101010101010101,77.0
Sun_Sunlight_Damage,0.16666666666666666,0.029411764705882353,0.05,34.0
Tinea,0.3018867924528302,0.1568627450980392,0.2064516129032258,102.0
Unknown_Normal,0.7341772151898734,0.9206349206349206,0.8169014084507042,189.0
Vascular_Tumors,0.19736842105263158,0.25,0.22058823529411764,60.0
Vasculitis,0.3392857142857143,0.36538461538461536,0.35185185185185186,52.0
Vitiligo,0.796875,0.6219512195121951,0.6986301369863014,82.0
Warts,0.27350427350427353,0.5,0.35359116022099446,64.0
